# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
0 0 0 0 0
0.0025 0.000291948 9.80182e-05 9.76073e-05 9.63228e-05
0.005 0.00116773 0.000392055 0.000390393 0.000385282
0.0075 0.00262712 0.000882042 0.000878262 0.000866819
0.01 0.00466974 0.00156786 0.00156107 0.00154082
0.0125 0.00729504 0.00244931 0.00243861 0.00240712
0.015 0.0105023 0.00352618 0.00351063 0.00346548
0.0175 0.0142906 0.00479816 0.00477683 0.00471563
0.02 0.018659 0.0062649 0.00623687 0.00615721
0.0225 0.0236062 0.00792602 0.00789033 0.00778986
0.025 0.0291309 0.00978106 0.00973677 0.00961311
0.0275 0.0352317 0.0118295 0.0117757 0.0116265
0.03 0.0419069 0.0140709 0.0140065 0.0138294
0.0325 0.0491547 0.0165046 0.0164287 0.0162213
0.035 0.0569733 0.01913 0.0190416 0.0188016
0.0375 0.0653606 0.0219465 0.0218445 0.0215696
0.04 0.0743147 0.0249534 0.0248367 0.0245245
0.0425 0.0838332 0.02815 0.0280175 0.0276657
0.045 0.0939138 0.0315355 0.031386 0.0309923
0.0475 0.104554 0.0351092 0.0349415 0.0345036
0.05 0.115752 0.0388703 0.0386832 0.0381986
0.0525 0.127505 0.0428179 0.0426101 0.0420766
0.055 0.139809 0.0469513 0.0467216 0.0461366
0.0575 0.152664 0.0512695 0.0510166 0.0503777
0.06 0.166065 0.0557717 0.0554944 0.0547991
0.0625 0.180011 0.0604571 0.060154 0.0593996
0.065 0.194498 0.0653247 0.0649945 0.0641784
0.0675 0.209523 0.0703737 0.0700151 0.0691344
0.07 0.225085 0.0756032 0.0752147 0.0742666
0.0725 0.241179 0.0810123 0.0805924 0.079574
0.075 0.257803 0.0866001 0.0861473 0.0850556
0.0775 0.274954 0.0923656 0.0918783 0.0907102
0.08 0.292629 0.098308 0.0977845 0.0965369
0.0825 0.310825 0.104426 0.103865 0.102534
0.085 0.32954 0.11072 0.110118 0.108702
0.0875 0.348768 0.117187 0.116544 0.115038
0.09 0.368509 0.123827 0.12314 0.121542
0.0925 0.388759 0.130639 0.129907 0.128212
0.095 0.409514 0.137623 0.136843 0.135048
0.0975 0.430771 0.144776 0.143947 0.142048
0.1 0.452528 0.152098 0.151217 0.149212
0.1025 0.474782 0.159589 0.158654 0.156538
0.105 0.497529 0.167246 0.166257 0.164026
0.1075 0.520766 0.175069 0.174023 0.171674
0.11 0.544491 0.183057 0.181953 0.179481
